x1,x2,class
0.87227,9.5351,0
0.84319,9.6863,0
0.88093,9.8729,0
1.0003,10.176,0
1.0749,0.23352,1
1.1939,0.34854,1
1.1382,0.54827,1
1.1387,0.78468,1
1.1827,0.89316,1
1.1934,1.1133,1
1.2252,1.3273,1
1.0345,1.6322,1
1.1985,1.7127,1
1.0474,1.9594,1
1.0072,2.1148,1
1.0318,2.3384,1
1.0334,2.4103,1
1.0321,2.8006,1
1.2338,2.9679,1
1.0683,3.0501,1
1.2357,3.2036,1
1.1595,3.5908,1
1.2181,3.7419,1
1.0918,3.9636,1
1.0591,4.1587,1
1.0468,4.3836,1
1.1364,4.6218,1
1.0638,4.7665,1
1.0765,4.8302,1
1.0039,5.1784,1
1.1469,5.3118,1
1.2406,5.5602,1
1.2125,5.7622,1
1.002,5.9696,1
1.1585,6.0147,1
1.0898,6.256,1
1.0285,6.442,1
1.1352,6.8321,1
1.1041,6.9288,1
1.1293,7.1683,1
1.2215,7.367,1
1.0373,7.4204,1
1.1087,7.6563,1
1.0148,7.871,1
1.0953,8.2284,1
1.1806,8.2573,1
1.0238,8.4622,1
1.1668,8.7691,1
1.0741,8.9621,1
1.1496,9.1759,1
1.038,9.4093,0
1.1091,9.5818,0
1.0032,9.6049,0
1.0573,9.9459,0
1.0659,10.23,0
1.3278,0.02292,1
1.2538,0.33864,1
1.2865,0.6327,1
1.387,0.64986,1
1.3034,0.93133,1
1.2139,1.0317,1
1.2975,1.3872,1
1.3186,1.4787,1
1.4063,1.6468,1
1.2759,2.0451,1
1.4054,2.1782,1
1.3414,2.4064,1
1.2136,2.5708,1
1.265,2.7724,1
1.3473,2.9327,1
1.3199,3.0472,1
1.2497,3.3233,1
1.2598,3.5399,1
1.395,3.8071,1
1.3543,3.8507,1
1.236,4.1319,1
1.379,4.402,1
1.3004,4.4888,1
1.3156,4.7369,1
1.3768,4.9794,1
1.3003,5.0506,1
1.2036,5.3609,1
1.2187,5.4,1
1.3478,5.7283,1
1.3115,5.9425,1
1.4317,6.0018,1
1.2237,6.4231,1
1.2939,6.6083,1
1.3365,6.7938,1
1.2279,6.997,1
1.4261,7.0934,1
1.3583,7.2381,1
1.4264,7.4881,1
1.3576,7.7613,1
1.2036,8.033,1
1.2791,8.0233,1
1.228,8.3847,1
1.3574,8.4138,1
1.2152,8.7893,1
1.3685,8.9159,1
1.3194,9.0113,0
1.2764,9.4105,0
1.3291,9.4412,0
1.3768,9.6288,0
1.4034,9.8679,0
1.279,10.079,0
1.4778,0.15152,1
1.4862,0.36937,1
1.5666,0.64691,1
1.6153,0.84832,1
1.5904,0.98938,1
1.619,1.0688,1
1.6178,1.4385,1
1.4432,1.5028,1
1.6126,1.6542,1
1.6399,1.9573,1
1.5926,2.0037,1
1.6188,2.2108,1
1.4169,2.4451,1
1.5617,2.6501,1
1.481,2.9798,1
1.5601,3.1107,1
1.6199,3.4114,1
1.4934,3.4974,1
1.5917,3.8094,1
1.442,3.9871,1
1.5299,4.146,1
1.5569,4.2401,1
1.5785,4.5322,1
1.4766,4.7157,1
1.4659,4.8949,1
1.629,5.0233,1
1.5538,5.2648,1
1.4233,5.484,1
1.5569,5.6938,1
1.448,5.8366,1
1.5942,6.0792,1
1.6161,6.2703,1
1.4834,6.605,1
1.4339,6.6855,1
1.5914,7.018,1
1.4797,7.067,1
1.4631,7.3939,1
1.45,7.5523,1
1.4173,7.6045,1
1.538,7.9754,1
1.501,8.0039,1
1.5875,8.371,1
1.5218,8.6195,1
1.4962,8.708,1
1.4154,8.9578,0
1.4534,9.1465,0
1.536,9.2569,0
1.5027,9.5962,0
1.6252,9.6719,0
1.4141,10.031,0
1.5109,10.075,0
1.7345,0.13408,1
1.6335,0.28341,1
1.7352,0.45932,1
1.8143,0.73631,1
1.6495,0.82692,1
1.6389,1.0343,1
1.6153,1.2236,1
1.7653,1.4777,1
1.6047,1.8032,1
1.6728,1.9284,1
1.8435,2.2166,1
1.7912,2.4451,1
1.6609,2.4817,1
1.7705,2.6549,1
1.6345,2.9296,1
1.7575,3.0883,1
1.8143,3.4149,1
1.8249,3.465,1
1.6871,3.8109,1
1.7216,3.9457,1
1.7699,4.1799,1
1.776,4.2859,1
1.7152,4.4023,1
1.6911,4.6481,1
1.6701,4.9268,1
1.6191,5.0061,1
1.7112,5.3375,1
1.6414,5.469,1
1.6997,5.7741,1
1.8301,6.0203,1
1.7278,6.0062,1
1.8285,6.2853,1
1.623,6.5054,1
1.8483,6.62,1
1.6241,6.8198,1
1.6783,7.0181,1
1.7963,7.4251,1
1.7506,7.6423,1
1.7165,7.6978,1
1.6745,7.8784,1
1.6333,8.1383,1
1.6738,8.398,1
1.6417,8.5996,1
1.6793,8.8158,0
1.6275,8.9995,0
1.808,9.0016,0
1.8429,9.43,0
1.6546,9.4045,0
1.7765,9.6074,0
1.6098,9.9779,0
1.7541,10.135,0
1.9673,0.13115,1
1.8093,0.32556,1
1.8008,0.41642,1
1.8356,0.65751,1
2.0156,0.82926,1
1.869,1.2474,1
1.9329,1.2176,1
1.9306,1.415,1
1.9419,1.7654,1
1.8833,1.886,1
1.9034,2.0321,1
1.9036,2.3593,1
2.046,2.5866,1
1.8144,2.8013,1
1.8991,2.8673,1
1.9978,3.1085,1
1.9485,3.3005,1
1.8774,3.552,1
2.0255,3.7925,1
1.8233,4.0353,1
1.8798,4.0329,1
2.0217,4.2639,1
1.9644,4.4946,1
1.9711,4.8484,1
1.9185,4.8852,1
1.8353,5.2249,1
2.0377,5.2594,1
2.0207,5.455,1
1.9094,5.8478,1
2.0087,6.0378,1
1.8813,6.1596,1
1.8919,6.326,1
1.9987,6.4895,1
1.8248,6.7921,1
2.0379,6.9961,1
1.8004,7.0072,1
1.8738,7.2131,1
1.8121,7.4809,1
1.9107,7.7999,1
1.9975,7.9576,1
2.0284,8.2457,1
1.9333,8.2396,1
2.001,8.5542,0
1.9407,8.6772,0
1.9877,8.8213,0
1.8023,9.2192,0
1.9192,9.3477,0
1.8626,9.4758,0
1.877,9.642,0
2.0417,9.885,0
1.8522,10.017,0
2.1301,0.16337,1
2.0564,0.26107,1
2.1418,0.58948,1
2.2495,0.67475,1
2.033,0.9047,1
2.2387,1.014,1
2.031,1.2077,1
2.0466,1.4466,1
2.1616,1.6677,1
2.032,1.8166,1
2.0203,2.0834,1
2.1648,2.2125,1
2.0068,2.4253,1
2.2463,2.618,1
2.1348,3.0261,1
2.0935,3.0779,1
2.1767,3.3479,1
2.2369,3.4944,1
2.0956,3.8379,1
2.1732,3.9856,1
2.1505,4.2218,1
2.1938,4.3497,1
2.148,4.5724,1
2.094,4.6978,1
2.2127,4.8558,1
2.0564,5.0328,1
2.1992,5.2431,1
2.2492,5.6346,1
2.0703,5.6086,1
2.1776,6.0199,1
2.1662,6.1306,1
2.1037,6.4021,1
2.1246,6.5119,1
2.2373,6.6866,1
2.2383,6.9893,1
2.1832,7.0901,1
2.0962,7.3392,1
2.01,7.6222,1
2.1457,7.81,1
2.1412,7.861,1
2.0888,8.1089,1
2.2201,8.4071,0
2.1561,8.4382,0
2.156,8.7895,0
2.0739,9.0191,0
2.0187,9.1255,0
2.0734,9.3426,0
2.0587,9.6129,0
2.0865,9.8462,0
2.2121,9.9976,0
2.0401,10.088,0
2.2395,0.12548,1
2.3272,0.2638,1
2.3508,0.52747,1
2.2403,0.61965,1
2.3589,0.81397,1
2.411,1.1587,1
2.3956,1.3542,1
2.2661,1.4204,1
2.2787,1.7524,1
2.2458,1.9362,1
2.3119,2.214,1
2.2817,2.3607,1
2.27,2.4679,1
2.4329,2.6267,1
2.2999,2.8151,1
2.2949,3.1555,1
2.3482,3.3748,1
2.2171,3.4687,1
2.2513,3.7055,1
2.3809,3.8915,1
2.3438,4.0205,1
2.2501,4.2174,1
2.4109,4.4302,1
2.3059,4.7695,1
2.3362,4.8547,1
2.332,5.0593,1
2.2463,5.2022,1
2.2204,5.5818,1
2.316,5.7403,1
2.2076,5.938,1
2.3087,6.1856,1
2.3395,6.4062,1
2.3597,6.4983,1
2.2086,6.634,1
2.3775,6.8489,1
2.2423,7.1801,1
2.3483,7.3674,1
2.352,7.415,1
2.3931,7.6961,1
2.2141,7.9228,1
2.4137,8.1935,0
2.2961,8.237,0
2.2999,8.5214,0
2.2814,8.618,0
2.3388,8.9969,0
2.2739,9.0984,0
2.2915,9.259,0
2.2873,9.4201,0
2.3576,9.6198,0
2.3661,10.032,0
2.448,10.051,0
2.6361,0.23915,1
2.4876,0.28494,1
2.4482,0.63999,1
2.6299,0.68579,1
2.4722,0.81586,1
2.5377,1.1531,1
2.6298,1.3389,1
2.4225,1.6266,1
2.4644,1.6503,1
2.5068,1.9969,1
2.5444,2.0869,1
2.6249,2.443,1
2.4546,2.609,1
2.6418,2.778,1
2.5085,2.8537,1
2.5962,3.0039,1
2.5313,3.2525,1
2.4828,3.5341,1
2.5079,3.6271,1
2.5795,4.0134,1
2.6291,4.2277,1
2.6225,4.2834,1
2.4337,4.5173,1
2.43,4.6007,1
2.6234,4.8777,1
2.5633,5.1213,1
2.4101,5.2655,1
2.5262,5.5708,1
2.6236,5.8278,1
2.4964,5.9426,1
2.473,6.0663,1
2.4585,6.4321,1
2.4502,6.4161,1
2.4951,6.7566,1
2.5487,7.0371,1
2.4671,7.1291,1
2.5556,7.4392,1
2.6011,7.468,1
2.426,7.7317,1
2.5823,8.0278,0
2.5621,8.0537,0
2.5187,8.4067,0
2.6332,8.4346,0
2.4241,8.7094,0
2.5498,9.0188,0
2.4584,9.1761,0
2.4081,9.3243,0
2.545,9.5524,0
2.6105,9.6195,0
2.5392,9.8604,0
2.61,10.006,0
2.6512,0.21162,1
2.7553,0.20372,1
2.6435,0.5376,1
2.6724,0.62992,1
2.6046,0.94699,1
2.7754,1.1556,1
2.838,1.3868,1
2.7873,1.4775,1
2.7892,1.8291,1
2.7355,1.9956,1
2.6705,2.0253,1
2.6612,2.2703,1
2.6716,2.6269,1
2.8408,2.6278,1
2.6577,2.9975,1
2.7343,3.0256,1
2.6513,3.392,1
2.7085,3.5655,1
2.6356,3.7933,1
2.6939,4.033,1
2.7984,4.0442,1
2.8032,4.2051,1
2.8259,4.6084,1
2.7351,4.7183,1
2.8045,4.8272,1
2.7771,5.0223,1
2.6108,5.2288,1
2.6365,5.442,1
2.6583,5.8431,1
2.6617,5.8715,1
2.6426,6.1498,1
2.6588,6.4131,1
2.6689,6.4612,1
2.8379,6.7818,1
2.6867,6.9002,1
2.6743,7.0777,1
2.7011,7.3634,1
2.6756,7.498,1
2.7893,7.6298,0
2.6899,8.0446,0
2.6312,8.1296,0
2.7543,8.3269,0
2.6889,8.4813,0
2.6907,8.6493,0
2.6171,9.0157,0
2.8168,9.067,0
2.7145,9.3347,0
2.6194,9.5379,0
2.8262,9.8408,0
2.6704,9.8674,0
2.7535,10.066,0
2.9655,0.077497,1
2.85,0.33932,1
3.04,0.49455,1
2.9663,0.66144,1
2.9353,0.96904,1
3.0172,1.0653,1
2.9393,1.4404,1
2.8053,1.5244,1
2.9207,1.7069,1
3.002,1.9419,1
2.984,2.1533,1
2.9431,2.4017,1
2.8022,2.6202,1
2.9796,2.64,1
2.9124,2.8223,1
2.9649,3.0783,1
2.9883,3.3518,1
3.0012,3.4947,1
2.8073,3.8314,1
2.995,3.8143,1
2.9418,4.2485,1
2.819,4.3667,1
2.8629,4.5543,1
2.8334,4.637,1
2.9411,4.8072,1
2.9352,5.1431,1
2.8172,5.2075,1
3.0471,5.5779,1
2.8628,5.6535,1
2.8789,5.8638,1
2.8752,6.2396,1
2.8105,6.2455,1
2.932,6.5996,1
2.864,6.61,1
2.9022,6.8773,1
3.0369,7.2418,1
3.0298,7.2667,1
2.8303,7.4305,0
2.948,7.7518,0
2.8899,7.9613,0
2.9798,8.2186,0
2.9309,8.4243,0
2.8652,8.4133,0
2.9233,8.7899,0
3.014,9.0147,0
2.9811,9.1204,0
2.8498,9.2188,0
2.8393,9.4227,0
2.8926,9.6501,0
3.0156,9.9946,0
2.9712,10.102,0
3.1585,0.20676,1
3.0353,0.23699,1
3.0198,0.58323,1
3.219,0.63747,1
3.1051,1.0096,1
3.1219,1.1363,1
3.1151,1.4403,1
3.1289,1.4189,1
3.068,1.8335,1
3.0579,1.8899,1
3.2249,2.0167,1
3.2272,2.4415,1
3.1509,2.5624,1
3.0913,2.7052,1
3.1496,2.9491,1
3.1671,3.0868,1
3.2236,3.2544,1
3.0218,3.4095,1
3.1348,3.6384,1
3.1071,3.8933,1
3.1543,4.2192,1
3.1397,4.3103,1
3.0565,4.5594,1
3.0261,4.697,1
3.0025,5.0093,1
3.0148,5.1916,1
3.0807,5.2314,1
3.1949,5.4232,1
3.0839,5.7651,1
3.1549,5.8944,1
3.2482,6.0269,1
3.162,6.356,1
3.1349,6.5554,1
3.0581,6.8279,1
3.185,6.9515,1
3.2222,7.1213,1
3.215,7.3442,0
3.1493,7.6455,0
3.1637,7.7296,0
3.2288,7.8872,0
3.1083,8.2457,0
3.0724,8.448,0
3.158,8.624,0
3.0739,8.7854,0
3.1555,8.9662,0
3.0119,9.1833,0
3.2487,9.309,0
3.0517,9.4999,0
3.1518,9.6545,0
3.0869,10.02,0
3.1794,10.236,0
3.207,0.23724,1
3.2167,0.22661,1
3.4318,0.41449,1
3.2219,0.64093,1
3.2831,0.93187,1
3.3315,1.0174,1
3.2617,1.2025,1
3.3357,1.4229,1
3.3952,1.7519,1
3.3305,1.814,1
3.433,2.1645,1
3.2368,2.344,1
3.3042,2.4185,1
3.2701,2.6604,1
3.3495,2.8878,1
3.2091,3.0317,1
3.2159,3.3849,1
3.2807,3.5114,1
3.2246,3.6044,1
3.2425,3.9704,1
3.2928,4.2202,1
3.2099,4.235,1
3.3773,4.6027,1
3.3603,4.6632,1
3.2435,4.8061,1
3.2155,5.1327,1
3.3017,5.4337,1
3.3158,5.5923,1
3.2507,5.7012,1
3.4174,5.9795,1
3.3495,6.1203,1
3.2058,6.3103,1
3.4249,6.6356,1
3.3132,6.7447,1
3.2145,6.9959,1
3.2266,7.1787,0
3.4496,7.2355,0
3.4166,7.5732,0
3.3538,7.6984,0
3.2067,7.8319,0
3.2806,8.1602,0
3.3159,8.3244,0
3.2248,8.416,0
3.3427,8.7309,0
3.2815,8.8786,0
3.3126,9.2137,0
3.3445,9.2023,0
3.2187,9.4506,0
3.2143,9.8202,0
3.2752,9.8545,0
3.3304,10.079,0
3.5405,0.085991,1
3.4604,0.40002,1
3.6282,0.54277,1
3.6064,0.80331,1
3.5111,0.82154,1
3.6455,1.048,1
3.5446,1.3574,1
3.4586,1.416,1
3.6026,1.7857,1
3.5128,1.9508,1
3.4625,2.1996,1
3.6389,2.2401,1
3.4357,2.5845,1
3.5281,2.7893,1
3.643,3.0203,1
3.5621,3.1073,1
3.5537,3.2469,1
3.5174,3.4758,1
3.5444,3.6802,1
3.6278,3.9105,1
3.4941,4.0905,1
3.4572,4.3564,1
3.5059,4.6347,1
3.4684,4.6717,1
3.5111,4.8611,1
3.5569,5.2302,1
3.5337,5.4316,1
3.4964,5.4775,1
3.6184,5.6191,1
3.4751,5.9952,1
3.5,6.0327,1
3.5294,6.3154,1
3.4155,6.51,1
3.4578,6.7513,1
3.4296,6.8318,0
3.4247,7.1498,0
3.6226,7.233,0
3.4083,7.4288,0
3.6098,7.7103,0
3.5268,7.8678,0
3.4284,8.236,0
3.5226,8.3292,0
3.5499,8.5113,0
3.4226,8.6771,0
3.6446,8.9174,0
3.5633,9.1949,0
3.5153,9.2422,0
3.6159,9.4056,0
3.4657,9.7772,0
3.606,9.9513,0
3.4822,10.103,0
3.8353,0.22869,1
3.661,0.3193,1
3.8393,0.62906,1
3.7277,0.72423,1
3.7411,1.0319,1
3.8484,1.1759,1
3.7927,1.3737,1
3.6785,1.4011,1
3.6145,1.7351,1
3.611,1.9032,1
3.8032,2.157,1
3.703,2.3359,1
3.696,2.454,1
3.7308,2.738,1
3.823,3.0157,1
3.7015,3.0012,1
3.7511,3.2313,1
3.6237,3.5938,1
3.684,3.6051,1
3.6362,3.8357,1
3.6612,4.0801,1
3.6947,4.4262,1
3.6676,4.5535,1
3.6539,4.604,1
3.7584,4.8778,1
3.7999,5.0482,1
3.6521,5.2689,1
3.8241,5.4067,1
3.7864,5.8077,1
3.7341,5.9911,1
3.8425,6.1803,1
3.7412,6.4057,1
3.6544,6.5911,1
3.8144,6.6301,0
3.8155,6.8961,0
3.6783,7.007,0
3.6817,7.2003,0
3.81,7.4017,0
3.7231,7.6419,0
3.613,7.8376,0
3.7945,8.1289,0
3.7067,8.3047,0
3.67,8.5485,0
3.6834,8.6692,0
3.6917,8.9482,0
3.7987,9.1463,0
3.6097,9.2304,0
3.7817,9.4196,0
3.8182,9.608,0
3.6715,9.842,0
3.7642,10.131,0
3.858,0.21034,1
3.9555,0.2766,1
3.8188,0.44779,1
4.0417,0.61628,1
3.9525,1.0365,1
3.8959,1.0612,1
3.8076,1.3564,1
4.0144,1.4517,1
3.9509,1.6604,1
4.012,1.9859,1
3.9262,2.039,1
3.802,2.4058,1
4.0298,2.4235,1
3.9027,2.8449,1
3.9831,2.9633,1
3.8378,3.071,1
4.0038,3.4168,1
4.0274,3.4075,1
3.9945,3.7902,1
3.9893,4.024,1
3.9013,4.1547,1
3.9755,4.3802,1
3.9414,4.516,1
3.9462,4.7897,1
3.8862,4.8018,1
3.9761,5.0484,1
3.8402,5.2229,1
3.8004,5.442,1
3.9405,5.8356,1
3.9366,6.0124,1
3.9377,6.0343,1
3.9736,6.3652,1
4.0319,6.4096,0
4.0361,6.637,0
4.0258,6.8462,0
3.951,7.1613,0
4.0316,7.4141,0
3.8292,7.6133,0
3.8852,7.7235,0
3.8092,7.9952,0
3.9346,8.0687,0
3.9843,8.4418,0
3.8453,8.6476,0
3.9066,8.6211,0
3.8245,8.8824,0
3.8758,9.0671,0
3.995,9.254,0
3.9342,9.5918,0
3.9923,9.6913,0
3.9597,9.8385,0
4.0233,10.041,0
4.0152,0.22334,1
4.0439,0.43645,1
4.1041,0.52937,1
4.1849,0.60459,1
4.2232,0.90483,1
4.0065,1.0305,1
4.0344,1.438,1
4.106,1.4675,1
4.1911,1.8234,1
4.1311,2.0238,1
4.1886,2.1939,1
4.0424,2.4272,1
4.1682,2.4042,1
4.1547,2.8398,1
4.0017,2.8188,1
4.1851,3.0713,1
4.2479,3.322,1
4.032,3.6426,1
4.0901,3.742,1
4.0478,3.8685,1
4.1786,4.0323,1
4.0445,4.2388,1
4.2467,4.4672,1
4.0042,4.7085,1
4.0099,4.899,1
4.2011,5.1063,1
4.2149,5.3536,1
4.1416,5.5117,1
4.1885,5.603,1
4.1299,5.8086,1
4.1465,6.0997,1
4.0477,6.4449,0
4.1259,6.5357,0
4.0127,6.8281,0
4.014,6.881,0
4.0838,7.0726,0
4.1577,7.4197,0
4.223,7.5948,0
4.1683,7.6986,0
4.1713,8.0206,0
4.1739,8.1064,0
4.2,8.3166,0
4.1652,8.5062,0
4.13,8.7138,0
4.0829,8.9739,0
4.2335,9.0239,0
4.0616,9.3834,0
4.1278,9.4325,0
4.1851,9.7241,0
4.0635,9.8649,0
4.2114,10.148,0
4.3345,0.056905,1
4.4275,0.43878,1
4.2877,0.41575,1
4.4338,0.64581,1
4.4319,0.95606,1
4.3469,1.0729,1
4.2254,1.2343,1
4.2917,1.4472,1
4.269,1.8392,1
4.2665,1.8742,1
4.2566,2.0593,1
4.2003,2.365,1
4.4233,2.4011,1
4.3134,2.6195,1
4.3446,2.8774,1
4.2789,3.056,1
4.4485,3.3738,1
4.446,3.5751,1
4.4411,3.813,1
4.3666,3.9398,1
4.3815,4.1426,1
4.2835,4.3327,1
4.3307,4.6147,1
4.2683,4.7116,1
4.3796,4.8958,1
4.3945,5.1488,1
4.2203,5.2763,1
4.2554,5.4253,1
4.251,5.693,1
4.356,5.8555,1
4.3813,6.1608,0
4.4086,6.3942,0
4.2047,6.5075,0
4.2505,6.7553,0
4.3173,6.8698,0
4.2946,7.1195,0
4.2851,7.2787,0
4.216,7.6068,0
4.3903,7.7858,0
4.3007,7.8361,0
4.3686,8.0171,0
4.3378,8.333,0
4.2129,8.586,0
4.2769,8.8089,0
4.4414,8.9802,0
4.4329,9.2219,0
4.2945,9.2407,0
4.3544,9.4503,0
4.3406,9.8205,0
4.4076,9.9155,0
4.4394,10.047,0
4.4189,0.18122,1
4.622,0.42089,1
4.5406,0.5995,1
4.4486,0.81074,1
4.4554,0.93451,1
4.5764,1.0524,1
4.5492,1.3326,1
4.5466,1.6108,1
4.6421,1.6538,1
4.5454,1.9792,1
4.425,2.2157,1
4.4417,2.3178,1
4.4255,2.5151,1
4.4366,2.8356,1
4.5679,2.9571,1
4.56,3.2016,1
4.4931,3.3004,1
4.4407,3.4803,1
4.4974,3.6947,1
4.6,3.9797,1
4.4999,4.0483,1
4.5888,4.3225,1
4.4738,4.4302,1
4.56,4.635,1
4.6213,5.0368,1
4.4524,5.1577,1
4.5201,5.3097,1
4.4282,5.5769,1
4.4331,5.7324,1
4.416,5.9631,0
4.4198,6.1945,0
4.5567,6.3545,0
4.5028,6.5255,0
4.5596,6.7213,0
4.6141,6.8275,0
4.5909,7.2291,0
4.644,7.3082,0
4.5954,7.5067,0
4.6339,7.6073,0
4.5848,7.9276,0
4.4634,8.2409,0
4.5798,8.2688,0
4.5734,8.5859,0
4.5933,8.6292,0
4.5868,8.9923,0
4.4796,9.1914,0
4.5276,9.3352,0
4.5933,9.4423,0
4.5432,9.8325,0
4.6385,9.8521,0
4.4429,10.005,0
4.8268,0.1504,1
4.7881,0.35184,1
4.6715,0.51721,1
4.7569,0.74908,1
4.7157,0.98086,1
4.6324,1.102,1
4.7373,1.3494,1
4.8424,1.5064,1
4.7105,1.6305,1
4.7477,1.8875,1
4.6277,2.1367,1
4.65,2.2318,1
