"","x","y","class"
"117",27.75,27.35,1
"118",28.3,26.6,1
"119",28.95,25.85,1
"120",29.5,25.15,1
"121",29.95,24.45,1
"122",30.4,23.7,1
"123",30.6,22.9,1
"124",30.9,22.1,1
"125",31.25,21.3,1
"126",31.35,20.55,1
"127",31.5,19.7,1
"128",31.55,18.9,1
"129",31.65,18.15,1
"130",31.6,17.35,1
"131",31.45,16.55,1
"132",31.3,15.8,1
"133",31.15,15.05,1
"134",30.9,14.35,1
"135",30.6,13.65,1
"136",30.3,13,1
"137",29.9,12.3,1
"138",29.5,11.75,1
"139",29,11.15,1
"140",28.5,10.6,1
"141",28,10.1,1
"142",27.55,9.65,1
"143",26.9,9.1,1
"144",26.25,8.8,1
"145",25.7,8.4,1
"146",25.15,8.05,1
"147",24.5,7.75,1
"148",23.9,7.65,1
"149",23.15,7.4,1
"150",22.5,7.3,1
"151",21.9,7.1,1
"152",21.25,7.05,1
"153",20.5,7,1
"154",19.9,6.95,1
"155",19.25,7.05,1
"156",18.75,7.1,1
"157",18.05,7.25,1
"158",17.5,7.35,1
"159",16.9,7.6,1
"160",16.35,7.8,1
"161",15.8,8.05,1
"162",15.4,8.35,1
"163",14.9,8.7,1
"164",14.45,8.9,1
"165",13.95,9.3,1
"166",13.6,9.65,1
"167",13.25,10.1,1
"168",12.95,10.55,1
"169",12.65,10.9,1
"170",12.35,11.4,1
"171",12.2,11.75,1
"172",11.95,12.2,1
"173",11.8,12.65,1
"174",11.75,13.05,1
"175",11.55,13.6,1
"176",11.55,14,1
"177",11.55,14.35,1
"178",11.55,14.7,1
"179",11.6,15.25,1
"180",11.65,15.7,1
"181",11.8,16.05,1
"182",11.85,16.5,1
"183",12,16.75,1
"184",12.15,17.2,1
"185",12.3,17.6,1
"186",12.55,17.85,1
"187",12.8,18.05,1
"188",13.1,18.4,1
"189",13.3,18.6,1
"190",13.55,18.85,1
"191",13.8,19.05,1
"192",14.15,19.25,1
"193",14.45,19.5,1
"194",14.85,19.55,1
"195",15,19.7,1
"196",15.25,19.7,1
"197",15.55,19.85,1
"198",15.95,19.9,1
"199",16.2,19.9,1
"200",16.55,19.9,1
"201",16.85,19.9,1
"202",17.2,19.9,1
"203",17.4,19.8,1
"204",17.65,19.75,1
"205",17.8,19.7,1
"206",18,19.6,1
"207",18.2,19.55,1
"208",3.9,9.6,2
"209",3.55,10.65,2
"210",3.35,11.4,2
"211",3.1,12.35,2
"212",3.1,13.25,2
"213",3.05,14.15,2
"214",3,15.1,2
"215",3.1,16,2
"216",3.2,16.85,2
"217",3.45,17.75,2
"218",3.7,18.7,2
"219",3.95,19.55,2
"220",4.35,20.25,2
"221",4.7,21.1,2
"222",5.15,21.8,2
"223",5.6,22.5,2
"224",6.2,23.3,2
"225",6.8,23.85,2
"226",7.35,24.45,2
"227",8.05,24.95,2
"228",8.8,25.45,2
"229",9.5,26,2
"230",10.2,26.35,2
"231",10.9,26.75,2
"232",11.7,27,2
"233",12.45,27.25,2
"234",13.3,27.6,2
"235",14.05,27.6,2
"236",14.7,27.75,2
"237",15.55,27.75,2
"238",16.4,27.75,2
"239",17.1,27.75,2
"240",17.9,27.75,2
"241",18.55,27.7,2
"242",19.35,27.6,2
"243",20.1,27.35,2
"244",20.7,27.1,2
"245",21.45,26.8,2
"246",22.05,26.5,2
"247",22.7,26.15,2
"248",23.35,25.65,2
"249",23.8,25.3,2
"250",24.3,24.85,2
"251",24.75,24.35,2
"252",25.25,23.95,2
"253",25.65,23.45,2
"254",26.05,23,2
"255",26.2,22.3,2
"256",26.6,21.8,2
"257",26.75,21.25,2
"258",27,20.7,2
"259",27.15,20.15,2
"260",27.15,19.6,2
"261",27.35,19.1,2
"262",27.35,18.45,2
"263",27.4,18,2
"264",27.3,17.4,2
"265",27.15,16.9,2
"266",27,16.4,2
"267",27,15.9,2
"268",26.75,15.35,2
"269",26.55,14.85,2
"270",26.3,14.45,2
"271",25.95,14.1,2
"272",25.75,13.7,2
"273",25.35,13.3,2
"274",25.05,12.95,2
"275",24.8,12.7,2
"276",24.4,12.45,2
"277",24.05,12.2,2
"278",23.55,11.85,2
"279",23.2,11.65,2
"280",22.75,11.4,2
"281",22.3,11.3,2
"282",21.9,11.1,2
"283",21.45,11.05,2
"284",21.1,11,2
"285",20.7,10.95,2
"286",20.35,10.95,2
"287",19.95,11,2
"288",19.55,11,2
"289",19.15,11.05,2
"290",18.85,11.1,2
"291",18.45,11.25,2
"292",18.15,11.35,2
"293",17.85,11.5,2
"294",17.5,11.7,2
"295",17.2,11.95,2
"296",17,12.05,2
"297",16.75,12.2,2
"298",16.65,12.35,2
"299",16.5,12.5,2
"300",16.35,12.7,2
"301",16.2,12.8,2
"302",16.15,12.95,2
"303",16,13.1,2
"304",15.95,13.25,2
"305",15.9,13.4,2
"306",15.8,13.5,2
"307",15.8,13.65,2
"308",15.75,13.85,2
"309",15.65,14.05,2
"310",15.65,14.25,2
"311",15.65,14.5,2
"312",15.65,14.6,2
