"","x","y","class"
"79",32.7,19.3,1
"80",31.9,17.9,1
"81",33.05,18.05,1
"82",32.8,16.6,1
"83",32.2,16.3,1
"84",32.4,15.15,1
"85",31.8,14.75,1
"86",32.35,13.25,1
"87",31.65,13.35,1
"88",31.15,12.05,1
"89",32,11.9,1
"90",31.05,10.3,1
"91",31.95,10.4,1
"92",30.05,9.55,1
"93",30.5,8.25,1
"94",29.6,8.25,1
"95",29.8,7.6,1
"96",29,7.05,1
"97",29,6.7,1
"98",27.6,5.95,1
"99",28.15,5.45,1
"100",26.5,4.8,1
"101",26.4,4.4,1
"102",25.8,3.65,1
"103",25.5,4.1,1
"104",31.6,16.6,1
"105",30.7,17.4,1
"106",29.65,17.95,1
"107",29.15,16.5,1
"108",30.5,15.55,1
"109",29.95,13.55,3
"110",30,11.85,1
"111",28.65,14.1,3
"112",27.45,10.85,3
"113",26.4,10.75,3
"114",25.05,10.1,3
"115",26.2,11.55,3
"116",27.2,13.3,3
"117",28.3,14.45,3
"118",27.95,14.65,3
"119",27.95,14.7,3
"120",23.15,11,3
"121",22.9,11.6,3
"122",23.9,11.6,3
"123",24.55,11.6,3
"124",23.85,12.45,3
"125",23.35,13.1,3
"126",24.85,13.2,3
"127",25.1,12.25,3
"128",25.15,12.5,3
"129",25.65,12.9,3
"130",25.7,13.5,3
"131",26.3,13.3,3
"132",27.1,14.55,3
"133",27.15,14.6,3
"134",26.4,14.35,3
"135",26.4,14.35,3
"136",25.75,14.55,3
"137",25.75,14.9,3
"138",25.35,14.65,3
"139",23.7,14.55,3
"140",24.05,14.9,3
"141",23.65,15.3,3
"142",22.75,14.5,3
"143",22,14,3
"144",20.9,12.95,3
"145",20.3,13.1,3
"146",22.2,16.45,3
"147",22.15,16.65,3
"148",22.4,15.15,3
"149",22.15,15.2,3
"150",23.95,15.95,3
"151",24.25,16.1,3
"152",24.8,16.1,3
"153",25.15,16.15,3
"154",25.5,16.7,3
"155",25.75,16.85,3
"156",26.2,16.85,3
"157",26.25,16.9,3
"158",26.25,16.35,3
"159",26.75,16.2,3
"160",27.4,16.15,3
"161",27.6,16.85,3
"162",26.95,17.2,3
"163",26.3,18.1,3
"164",27.55,17.95,3
"165",27.7,17.6,3
"166",28.25,18.25,3
"167",28.8,19.15,3
"168",28.5,19.15,3
"169",28.1,19.35,3
"170",28.05,20.3,3
"171",27.3,20.5,3
"172",27.1,21.6,3
"173",26.75,19.5,3
"174",26.5,20,3
"175",25.9,19.8,3
"176",25.1,19.8,3
"177",24.75,20.7,3
"178",24.35,20.55,3
"179",23.55,20.35,3
"180",24.3,19.7,3
"181",24.9,19,3
"182",24.7,16.8,3
"183",24.35,16.8,3
"184",24.4,17.15,3
"185",24.9,17.3,3
"186",24.35,17.7,3
"187",24.95,17.8,3
"188",24.95,18.05,3
"189",24.4,18.35,3
"190",23.65,18.6,3
"191",22.85,18.9,3
"192",22.4,20.65,3
"193",22.5,17.8,3
"194",22.45,18.25,3
"195",21.6,17.7,3
"196",21.35,18.05,3
"197",21.3,18.25,3
"198",19.95,19.8,3
"199",20.45,20.45,3
"200",20.35,16.95,3
"201",19.7,17.45,3
"202",19.35,17.45,3
"203",12.45,9.15,2
"204",10.1,10.05,2
"205",11.75,12.2,2
"206",9.55,12.4,2
"207",8.65,13.35,2
"208",7.75,13.55,2
"209",8.55,15.15,2
"210",8.05,15.9,2
"211",8.45,15.9,2
"212",8.6,16.85,2
"213",9,17.05,2
"214",9,16.3,2
"215",9.35,16.3,2
"216",9.55,15.3,2
"217",9.65,14.85,2
"218",10.15,15.05,2
"219",10.05,15.6,2
"220",10.4,16,2
"221",10.65,16,2
"222",10.9,15.95,2
"223",10.7,15.35,2
"224",11.35,15.05,2
"225",11.15,14.75,2
"226",11.05,14.6,2
"227",11.15,14.2,2
"228",11.1,13.6,2
"229",12.5,13,2
"230",13.3,12.45,2
"231",13.5,12.4,2
"232",13.95,11.75,2
"233",14.4,12.2,2
"234",15.4,12.2,2
"235",15.25,12.45,2
"236",14.6,12.75,2
"237",14.1,13.05,2
"238",14.2,13.25,2
"239",14.75,13.45,2
"240",13.15,13.4,2
"241",13.05,13.7,2
"242",12.65,13.65,2
"243",15.45,13.75,2
"244",14.65,14.2,2
"245",13.75,14.05,2
"246",13.75,14.5,2
"247",12.95,14.8,2
"248",13.2,14.9,2
"249",13.25,15.5,2
"250",12.1,15.35,2
"251",12.15,15.5,2
"252",11.25,16.4,2
"253",12.7,15.6,2
"254",12.5,16.15,2
"255",12.7,16.6,2
"256",12.15,16.2,2
"257",11.95,16.5,2
"258",11.45,16.8,2
"259",11.05,17.2,2
"260",11.3,17.6,2
"261",11.65,17.6,2
"262",11.25,18.25,2
"263",11.05,18.45,2
"264",11.05,18.55,2
"265",10.55,18.55,2
"266",10.8,19.2,2
"267",7.45,19,1
"268",10.05,20.1,2
"269",9.95,20.5,2
"270",10.65,20.45,2
"271",10.3,22.75,2
"272",11.7,19.6,2
"273",12.2,19.65,2
"274",13.2,20.1,2
"275",13.55,20.05,2
"276",14.15,20.05,2
"277",14.25,21.5,2
"278",13.25,21.4,2
"279",12.85,18.1,2
"280",13.75,18.3,2
"281",14.2,18.35,2
"282",14.25,18.8,2
"283",13.75,16,2
"284",13.75,16.7,2
"285",13.75,17.05,2
"286",14.05,16.8,2
"287",14.5,16.95,2
"288",14.75,16.65,2
"289",15.25,16.05,2
"290",15.4,16.2,2
"291",15.85,16.2,2
"292",15.5,15.55,2
"293",15,14.95,2
"294",16.6,16.15,2
"295",17.9,15.6,2
"296",17.5,18.05,2
"297",16.65,17.5,2
"298",15.45,17.3,2
"299",15.45,17.8,2
"300",15.7,18.4,2
