"","fixed acidity","volatile acidity","citric acid","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality","sweet"
"75",6.7,0.23,0.31,0.046,30,96,0.9926,3.33,0.64,10.7,8,0
"76",7.4,0.24,0.29,0.05,21,105,0.9962,3.13,0.35,9.5,5,0
"77",7.1,0.18,0.36,0.043,31,87,0.9898,3.26,0.37,12.7,7,0
"78",7,0.32,0.34,0.042,20,69,0.9912,3.31,0.65,12,7,0
"79",7.4,0.18,0.3,0.064,26,103,0.9961,2.94,0.56,9.3,5,0
"80",6.7,0.54,0.28,0.06,21,105,0.9949,3.27,0.37,9,5,0
"81",6.8,0.22,0.31,0.053,34,114,0.9929,3.39,0.77,10.6,6,0
"82",7.1,0.2,0.34,0.05,51,166,0.9985,3.21,0.6,9.2,6,1
"83",7.1,0.34,0.2,0.063,47,164,0.9946,3.17,0.42,10,5,0
"84",7.3,0.22,0.3,0.047,42,207,0.9966,3.33,0.46,9.5,6,0
"85",7.1,0.43,0.61,0.045,54,155,0.9974,3.11,0.45,8.7,5,0
"86",7.1,0.44,0.62,0.044,52,152,0.9975,3.12,0.46,8.7,6,0
"87",7.2,0.39,0.63,0.044,55,156,0.9974,3.09,0.44,8.7,6,0
"88",6.8,0.25,0.31,0.05,69,202,0.9972,3.22,0.48,9.7,6,1
"89",7.1,0.43,0.61,0.045,54,155,0.9974,3.11,0.45,8.7,5,0
"90",7.1,0.44,0.62,0.044,52,152,0.9975,3.12,0.46,8.7,6,0
"91",7.2,0.39,0.63,0.044,55,156,0.9974,3.09,0.44,8.7,6,0
"92",6.1,0.27,0.43,0.049,65,243,0.9957,3.12,0.47,9,5,0
"93",6.9,0.24,0.33,0.035,47,136,0.99,3.26,0.4,12.6,7,0
"94",6.9,0.21,0.33,0.034,48,136,0.9899,3.25,0.41,12.6,7,0
"95",7.5,0.17,0.32,0.04,51,148,0.9916,3.21,0.44,11.5,7,0
"96",7.1,0.26,0.29,0.044,62,240,0.9969,3.04,0.42,9.2,6,1
"97",6,0.34,0.66,0.046,26,164,0.9979,3.14,0.5,8.8,6,1
"98",8.6,0.265,0.36,0.034,15,80,0.9913,2.95,0.36,11.4,7,0
"99",9.8,0.36,0.46,0.038,4,83,0.9956,2.89,0.3,10.1,4,0
"100",6,0.34,0.66,0.046,26,164,0.9979,3.14,0.5,8.8,6,1
"101",7.4,0.25,0.37,0.06,52,192,0.9975,3,0.44,9.1,5,1
"102",7.1,0.12,0.32,0.054,64,162,0.9962,3.4,0.41,9.4,5,0
"103",6,0.21,0.24,0.05,55,164,0.997,3.34,0.39,9.4,5,1
"104",7.5,0.305,0.4,0.059,44,170,1,2.99,0.46,9,5,1
"105",7.4,0.25,0.37,0.06,52,192,0.9975,3,0.44,9.1,5,1
"106",7.3,0.13,0.32,0.051,34,109,0.9974,3.2,0.35,9.2,6,1
"107",7.1,0.12,0.32,0.054,64,162,0.9962,3.4,0.41,9.4,5,0
"108",7.1,0.23,0.35,0.04,60,171,0.999,3.16,0.59,9.1,6,1
"109",7.1,0.23,0.35,0.04,60,171,0.999,3.16,0.59,9.1,6,1
"110",6.9,0.33,0.28,0.051,37,187,0.9927,3.27,0.6,10.3,5,0
"111",6.5,0.17,0.54,0.082,64,163,0.9959,2.89,0.39,8.8,6,0
"112",7.2,0.27,0.46,0.052,45,255,1,3.04,0.52,8.9,5,1
"113",7.2,0.31,0.5,0.056,68,195,0.9982,3.01,0.47,9.2,5,1
"114",6.7,0.41,0.34,0.049,29,150,0.9968,3.22,0.51,9.1,5,0
"115",6.7,0.41,0.34,0.049,29,150,0.9968,3.22,0.51,9.1,5,0
"116",5.5,0.485,0,0.065,8,103,0.994,3.63,0.4,9.7,4,0
"117",6,0.31,0.24,0.041,25,143,0.9914,3.31,0.44,11.3,6,0
"118",7,0.14,0.4,0.035,16,85,0.9911,3.19,0.42,11.8,6,0
"119",7.2,0.31,0.5,0.056,68,195,0.9982,3.01,0.47,9.2,5,1
"120",7.3,0.32,0.48,0.06,57,196,0.9982,3.04,0.5,9.2,5,1
"121",5.9,0.36,0.04,0.046,21,87,0.9934,3.22,0.51,10.2,5,0
"122",7.8,0.24,0.32,0.054,42,138,0.9984,3.01,0.54,8.8,5,1
"123",7.4,0.16,0.31,0.059,31,131,0.9952,3.29,0.34,9.7,5,0
"124",6.9,0.19,0.28,0.058,14,146,0.9952,3.29,0.36,9.1,6,0
"125",6.4,0.13,0.47,0.092,40,158,0.9928,3.21,0.36,9.8,6,0
"126",6.7,0.19,0.36,0.026,63,143,0.9912,3.27,0.48,11,6,0
"127",7.4,0.39,0.23,0.033,29,126,0.994,3.14,0.42,10.5,5,0
"128",6.5,0.24,0.32,0.038,48,203,0.9958,3.45,0.54,9.7,7,0
"129",6.1,0.3,0.56,0.044,47,179,0.9924,3.3,0.57,10.9,7,0
"130",6.1,0.3,0.56,0.046,46,184,0.9924,3.31,0.57,10.9,6,0
"131",5.7,0.26,0.25,0.02,7,57,0.994,3.39,0.37,10.6,5,0
"132",6.5,0.24,0.32,0.038,48,203,0.9958,3.45,0.54,9.7,7,0
"133",6.5,0.425,0.4,0.038,59,241,0.9979,3.23,0.57,9,5,1
"134",6.6,0.24,0.27,0.035,46,188,0.9982,3.24,0.51,9.2,5,1
"135",6.8,0.27,0.22,0.034,55,203,0.9961,3.19,0.52,8.9,5,0
"136",6.7,0.27,0.31,0.036,44,179,0.9979,3.26,0.56,9.6,5,1
"137",8.2,0.23,0.4,0.027,36,121,0.992,3.12,0.38,10.7,6,0
"138",7.1,0.37,0.67,0.045,49,155,0.9975,3.16,0.44,8.7,5,0
"139",6.8,0.19,0.36,0.035,30,96,0.9917,3.15,0.54,10.8,7,0
"140",8.1,0.28,0.39,0.029,18,79,0.9923,3.23,0.52,11.8,6,0
"141",6.3,0.31,0.34,0.045,20,77,0.9927,3.3,0.43,10.2,5,0
"142",7.1,0.37,0.67,0.045,49,155,0.9975,3.16,0.44,8.7,5,0
"143",7.9,0.21,0.4,0.039,38,107,0.992,3.21,0.54,10.8,6,0
"144",8.5,0.21,0.41,0.036,24,99,0.9947,3.18,0.53,9.7,6,0
"145",8.1,0.2,0.4,0.037,19,87,0.9921,3.12,0.54,11.2,6,0
"146",6.3,0.255,0.37,0.04,37,114,0.9905,3,0.39,10.9,6,0
"147",5.6,0.16,0.27,0.044,53,168,0.9918,3.28,0.37,10.1,6,0
"148",6.4,0.595,0.14,0.058,15,97,0.9951,3.38,0.36,9,4,0
"149",6.3,0.34,0.33,0.034,19,80,0.9917,3.38,0.58,12,7,0
"150",6.9,0.25,0.3,0.054,23,116,0.994,2.99,0.38,9.4,6,0
"151",7.9,0.22,0.38,0.043,46,152,0.9934,3.12,0.32,11.5,7,0
"152",7.6,0.18,0.46,0.055,58,135,0.9968,3.14,0.43,9.9,6,0
"153",6.9,0.25,0.3,0.054,23,116,0.994,2.99,0.38,9.4,6,0
"154",7.2,0.18,0.41,0.048,41,97,0.9919,3.14,0.45,10.4,5,0
"155",8.2,0.23,0.4,0.049,12,76,0.9966,3.06,0.84,9.7,6,0
"156",7.4,0.24,0.42,0.066,48,198,0.9979,2.89,0.42,8.9,6,1
"157",7.4,0.24,0.42,0.066,48,198,0.9979,2.89,0.42,8.9,6,1
"158",6.1,0.32,0.24,0.036,38,124,0.9898,3.29,0.42,12.4,7,0
"159",5.2,0.44,0.04,0.036,43,119,0.9894,3.36,0.33,12.1,8,0
"160",5.2,0.44,0.04,0.036,43,119,0.9894,3.36,0.33,12.1,8,0
"161",6.1,0.32,0.24,0.036,38,124,0.9898,3.29,0.42,12.4,7,0
"162",6.4,0.22,0.56,0.055,27,159,0.998,2.98,0.4,9.1,5,1
"163",6.3,0.36,0.3,0.049,14,85,0.9932,3.28,0.39,10.6,5,0
"164",7.4,0.24,0.42,0.066,48,198,0.9979,2.89,0.42,8.9,6,1
"165",6.7,0.24,0.35,0.05,64,205,0.997,3.15,0.5,9.5,5,1
"166",7,0.23,0.36,0.051,72,177,0.9972,3.16,0.49,9.8,5,1
"167",8.4,0.27,0.46,0.048,39,197,0.9974,3.14,0.59,9.6,6,0
"168",6.7,0.46,0.18,0.034,25,98,0.9896,3.08,0.44,12.6,7,0
"169",7.5,0.29,0.31,0.055,20,151,0.9968,3.08,0.54,9.3,5,0
"170",9.8,0.42,0.48,0.034,5,110,0.9958,2.87,0.29,10,5,0
"171",7.1,0.3,0.46,0.066,29,133,0.9906,3.12,0.54,12.7,6,0
"172",7.9,0.19,0.45,0.045,17,96,0.9917,3.13,0.39,11,6,0
"173",7.6,0.48,0.37,0.037,4,100,0.9902,3.03,0.39,11.4,4,0
"174",6.3,0.22,0.43,0.038,31,130,0.9918,3.35,0.33,11.5,7,0
"175",7.5,0.27,0.31,0.051,33,173,0.999,3.09,0.64,10.2,5,1
"176",6.9,0.23,0.4,0.04,50,151,0.9927,3.11,0.27,11.4,6,0
"177",7.2,0.32,0.47,0.044,19,65,0.991,3.03,0.41,12.6,4,0
"178",5.9,0.23,0.3,0.054,57,170,0.9972,3.28,0.39,9.4,5,1
"179",6,0.67,0.07,0.06,9,108,0.9931,3.11,0.35,8.7,4,0
"180",6.4,0.25,0.32,0.049,41,176,0.995,3.19,0.68,9.2,6,0
"181",6.4,0.33,0.31,0.048,42,173,0.9951,3.19,0.66,9.3,6,0
"182",7.1,0.34,0.15,0.053,61,183,0.9936,3.09,0.43,9.2,5,0
"183",6.8,0.28,0.4,0.048,48,167,1.001,2.93,0.5,8.7,5,1
"184",6.9,0.27,0.4,0.05,64,227,0.9979,3.18,0.58,9.6,6,1
"185",6.8,0.26,0.56,0.043,64,226,0.997,3.02,0.63,9.3,5,0
"186",6.8,0.29,0.56,0.043,66,230,0.9972,3.02,0.63,9.3,5,0
"187",6.7,0.24,0.41,0.04,49,166,0.9954,3.12,0.61,9.9,6,0
"188",5.9,0.3,0.23,0.038,42,119,0.9924,3.15,0.5,11,5,0
"189",6.8,0.53,0.35,0.034,26,109,0.9906,3.26,0.57,12.7,8,0
"190",6.5,0.28,0.28,0.047,54,210,0.9962,3.09,0.54,8.9,4,0
"191",6.6,0.28,0.28,0.052,55,211,0.9962,3.09,0.55,8.9,6,0
"192",6.8,0.28,0.4,0.048,48,167,1.001,2.93,0.5,8.7,5,1
"193",6.8,0.28,0.36,0.045,28,123,0.9928,3.02,0.37,11.4,6,0
"194",6.6,0.15,0.34,0.055,34,125,0.9942,3.36,0.42,9.6,5,0
"195",6.4,0.29,0.44,0.2,75,181,0.9942,3.02,0.41,9.1,5,0
"196",6.4,0.3,0.45,0.197,76,180,0.9942,3.02,0.39,9.1,6,0
"197",6.4,0.29,0.44,0.197,75,183,0.9942,3.01,0.38,9.1,5,0
"198",6.8,0.26,0.24,0.052,54,214,0.9961,3.13,0.47,8.9,5,0
"199",7.1,0.32,0.24,0.05,52,204,0.998,3.1,0.49,8.8,5,1
"200",6.8,0.26,0.24,0.052,54,214,0.9961,3.13,0.47,8.9,5,0
"201",6.8,0.27,0.26,0.049,55,196,0.9984,3.15,0.5,9.3,5,1
"202",7.1,0.32,0.24,0.05,52,204,0.998,3.1,0.49,8.8,5,1
"203",6.9,0.54,0.32,0.05,53,236,0.9973,3.2,0.5,9.6,5,1
"204",6.8,0.26,0.34,0.034,39,134,0.9949,3.33,0.53,12,6,1
"205",5.8,0.28,0.35,0.053,36,114,0.9924,3.28,0.5,10.2,4,0
"206",6.4,0.21,0.5,0.042,45,153,0.9972,3.15,0.43,8.8,5,0
"207",7,0.16,0.32,0.045,38,126,0.9958,3.21,0.34,9.2,5,0
"208",10.2,0.44,0.88,0.049,20,124,0.9968,2.99,0.51,9.9,4,0
"209",6.8,0.57,0.29,0.04,15,77,0.9938,3.32,0.74,10.2,5,0
"210",6.1,0.4,0.31,0.048,23,170,0.993,3.22,0.77,9.5,6,0
"211",5.6,0.245,0.25,0.032,12,68,0.994,3.31,0.34,10.5,5,0
"212",6.8,0.18,0.38,0.038,35,111,0.9918,3.32,0.59,11.2,7,0
"213",7,0.16,0.32,0.045,38,126,0.9958,3.21,0.34,9.2,5,0
"214",6.7,0.13,0.29,0.051,31,122,0.9944,3.44,0.37,9.7,6,0
"215",6.2,0.25,0.25,0.03,35,105,0.9912,3.3,0.44,11.1,7,0
"216",5.8,0.26,0.24,0.044,55,152,0.9961,3.31,0.38,9.4,5,0
"217",7.5,0.27,0.36,0.036,45,164,0.9939,3.03,0.33,11,5,0
"218",5.8,0.26,0.24,0.044,55,152,0.9961,3.31,0.38,9.4,5,0
"219",5.7,0.28,0.24,0.044,60,167,0.9989,3.31,0.44,9.4,5,1
"220",7.5,0.23,0.36,0.036,43,161,0.9938,3.04,0.32,11,5,0
"221",7.5,0.27,0.36,0.036,45,164,0.9939,3.03,0.33,11,5,0
"222",7.2,0.685,0.21,0.07,33,172,0.9971,3,0.55,9.1,6,0
"223",6.2,0.25,0.25,0.03,35,105,0.9912,3.3,0.44,11.1,7,0
"224",6.5,0.19,0.3,0.043,33,144,0.9936,3.42,0.39,9.1,6,0
"225",6.3,0.495,0.22,0.046,31,140,0.9929,3.39,0.54,10.4,6,0
"226",7.1,0.24,0.41,0.046,39,145,0.9998,3.32,0.39,8.7,5,1
"227",6.4,0.17,0.32,0.048,41,200,0.9938,3.5,0.5,9.7,6,0
"228",7.1,0.25,0.32,0.041,66,272,0.9969,3.17,0.52,9.1,6,0
"229",6.4,0.17,0.32,0.048,41,200,0.9938,3.5,0.5,9.7,6,0
"230",7.1,0.24,0.41,0.046,39,145,0.9998,3.32,0.39,8.7,5,1
"231",6.8,0.64,0.08,0.062,26,142,0.9972,3.37,0.46,8.9,4,0
"232",8.3,0.28,0.4,0.041,38,194,0.9976,3.34,0.51,9.6,6,0
"233",8.2,0.27,0.39,0.039,49,208,0.9976,3.31,0.51,9.5,6,0
"234",7.2,0.23,0.38,0.058,55,194,0.9979,3.09,0.44,9,6,1
"235",7.2,0.23,0.38,0.058,55,194,0.9979,3.09,0.44,9,6,1
"236",7.2,0.23,0.38,0.058,55,194,0.9979,3.09,0.44,9,6,1
"237",7.2,0.23,0.38,0.058,55,194,0.9979,3.09,0.44,9,6,1
"238",6.8,0.52,0.32,0.044,54,221,0.9972,3.27,0.5,9.6,6,1
"239",7,0.26,0.59,0.037,40,120,0.9918,3.34,0.41,11.1,7,0
"240",6.2,0.25,0.21,0.039,28,159,0.9982,3.48,0.64,9.6,6,1
"241",7.3,0.32,0.23,0.05,49,197,0.9985,3.2,0.46,8.7,5,1
"242",7.7,0.31,0.26,0.031,23,90,0.9944,3.13,0.5,10.4,5,0
"243",7.1,0.21,0.37,0.026,23,100,0.9903,3.15,0.38,11.4,7,0
"244",6.8,0.24,0.34,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6,0
"245",6.9,0.4,0.56,0.043,40,142,0.9975,3.14,0.46,8.7,5,0
"246",6.1,0.18,0.36,0.038,20,249.5,0.9923,3.37,0.79,11.3,6,0
"247",6.8,0.21,0.27,0.03,26,139,0.99,3.16,0.61,12.6,7,0
"248",5.8,0.2,0.27,0.031,12,77,0.9905,3.25,0.36,10.9,7,0
"249",5.6,0.19,0.26,0.03,12,76,0.9905,3.25,0.37,10.9,7,0
"250",6.1,0.41,0.14,0.037,18,119,0.996,3.38,0.45,10,5,0
"251",5.9,0.21,0.28,0.053,40,199,0.9964,3.72,0.7,10,4,0
"252",8.5,0.26,0.21,0.074,41,197,0.998,3.02,0.5,9.8,3,1
"253",6.9,0.4,0.56,0.043,40,142,0.9975,3.14,0.46,8.7,5,0
"254",5.8,0.24,0.44,0.029,5,109,0.9913,3.53,0.43,11.7,3,0
"255",5.8,0.24,0.39,0.054,37,158,0.9932,3.21,0.52,9.3,6,0
"256",6.7,0.26,0.39,0.04,45,147,0.9935,3.32,0.58,9.6,8,0
"257",6.3,0.35,0.3,0.035,8,97,0.9927,3.27,0.41,11,7,0
"258",6.3,0.35,0.3,0.035,8,97,0.9927,3.27,0.41,11,7,0
"259",6.4,0.23,0.39,0.032,23,118,0.9912,3.32,0.5,11.8,6,0
"260",5.8,0.36,0.38,0.037,3,75,0.9904,3.28,0.34,11.4,4,0
"261",6.9,0.115,0.35,0.048,36,108,0.9939,3.32,0.42,10.2,6,0
"262",6.9,0.29,0.4,0.043,36,156,0.9996,2.93,0.47,8.9,5,1
"263",6.9,0.28,0.4,0.036,15,95,0.9944,3.17,0.33,10.2,5,0
"264",7.2,0.29,0.4,0.045,66,231,0.9977,3.08,0.59,9.6,6,1
"265",6.2,0.24,0.35,0.038,22,167,0.9912,3.1,0.48,10.6,6,0
"266",6.9,0.29,0.4,0.043,36,156,0.9996,2.93,0.47,8.9,5,1
"267",6.9,0.32,0.26,0.053,32,180,0.9965,3.25,0.51,9.2,6,0
"268",5.3,0.58,0.07,0.043,34,149,0.9944,3.34,0.57,9.7,5,0
"269",5.3,0.585,0.07,0.044,34,145,0.9945,3.34,0.57,9.7,6,0
"270",5.4,0.59,0.07,0.045,36,147,0.9944,3.34,0.57,9.7,6,0
"271",6.9,0.32,0.26,0.053,32,180,0.9965,3.25,0.51,9.2,6,0
"272",5.2,0.6,0.07,0.044,33,147,0.9944,3.33,0.58,9.7,5,0
"273",5.8,0.25,0.26,0.051,44,148,0.9972,3.29,0.38,9.3,5,1
"274",6.6,0.58,0.3,0.057,30,123,0.9949,3.24,0.38,9,5,0
"275",7,0.29,0.54,0.046,59,234,0.9966,3.05,0.61,9.5,5,0
"276",6.6,0.19,0.41,0.046,51,169,0.9954,3.14,0.57,9.8,6,0
"277",6.7,0.2,0.41,0.044,50,166,0.9954,3.14,0.58,9.8,6,0
"278",7.7,0.26,0.4,0.042,9,60,0.9915,2.89,0.5,10.6,5,0
"279",6.8,0.32,0.34,0.044,14,67,0.9919,3.05,0.47,10.6,4,0
"280",7,0.3,0.49,0.036,17,105,0.9916,3.26,0.68,12.4,7,0
"281",7,0.24,0.36,0.034,22,112,0.99,3.19,0.38,12.6,8,0
"282",6.1,0.31,0.58,0.039,36,114,0.9909,3.3,0.6,12.3,8,0
"283",6.8,0.44,0.37,0.047,46,201,0.9938,3.08,0.65,10.5,4,0
"284",6.7,0.34,0.3,0.054,51,196,0.9982,3.19,0.49,9.3,5,1
"285",7.1,0.35,0.24,0.055,46,198,0.9988,3.12,0.49,8.8,5,1
"286",7.3,0.32,0.25,0.056,47,180,0.9961,3.08,0.47,8.8,5,0
"287",6.5,0.28,0.33,0.053,51,190,0.9978,3.22,0.51,9.7,6,1
"288",7.2,0.23,0.39,0.058,49,192,0.9979,2.98,0.48,9,7,1
"289",7.2,0.23,0.39,0.058,49,192,0.9979,2.98,0.48,9,7,1
"290",7.2,0.23,0.39,0.058,49,192,0.9979,2.98,0.48,9,7,1
"291",7.2,0.23,0.39,0.058,49,192,0.9979,2.98,0.48,9,7,1
"292",5.9,0.15,0.31,0.041,53,155,0.9945,3.52,0.46,10.5,6,0
"293",7.4,0.28,0.42,0.066,53,195,1,2.96,0.44,9.1,5,1
"294",6.2,0.28,0.22,0.041,26,157,0.9957,3.44,0.64,9.8,7,0
"295",9.1,0.59,0.38,0.066,34,182,0.9968,3.23,0.38,8.5,3,0
"296",6.3,0.33,0.27,0.046,34,175,0.9934,3.37,0.54,9.4,6,0
"297",8.3,0.39,0.7,0.045,33,169,0.9976,3.09,0.57,9.4,5,0
"298",7.2,0.19,0.46,0.041,82,187,0.9932,3.19,0.6,11.2,7,0
"299",7.5,0.17,0.44,0.046,65,146,0.997,3.17,0.45,10,6,0
"300",6.7,0.17,0.5,0.043,27,122,0.9923,3.15,0.45,10.3,6,0
"301",6.1,0.41,0,0.063,36,87,0.9914,3.27,0.67,10.8,6,0
"302",8.3,0.2,0.35,0.05,12,74,0.992,3.13,0.38,10.5,6,0
"303",6.1,0.41,0,0.063,36,87,0.9914,3.27,0.67,10.8,6,0
"304",6,0.29,0.21,0.055,42,168,0.9914,3.32,0.43,11.1,6,0
"305",7.3,0.41,0.24,0.057,41,163,0.9949,3.2,0.41,9.9,6,0
"306",7.3,0.41,0.24,0.057,41,163,0.9949,3.2,0.41,9.9,6,0
"307",7.2,0.43,0.24,0.058,40,163,0.995,3.2,0.41,9.9,5,0
"308",7.3,0.4,0.24,0.058,41,166,0.995,3.2,0.41,9.9,6,0
"309",6.2,0.33,0.27,0.036,30,134,0.9927,3.2,0.42,10.4,7,0
"310",6.2,0.31,0.26,0.037,36,148,0.9928,3.21,0.41,10.4,6,0
"311",6.1,0.36,0.27,0.035,16,100,0.9917,3.4,0.71,11.5,7,0
"312",5,0.55,0.14,0.032,35,164,0.9918,3.53,0.51,12.5,8,0
"313",7.8,0.25,0.41,0.042,37,149,0.9954,3.36,0.45,10,6,0
"314",5.7,0.36,0.21,0.038,51,166,0.9941,3.29,0.63,10,6,0
"315",5.8,0.34,0.21,0.04,50,167,0.9941,3.29,0.62,10,5,0
"316",6.8,0.28,0.6,0.132,42,127,0.9934,3.09,0.44,9.1,6,0
"317",6.8,0.25,0.34,0.031,34,134,0.9927,3.21,0.38,10.6,6,0
"318",6.6,0.24,0.35,0.031,36,135,0.9938,3.19,0.37,10.5,5,0
"319",5.9,0.3,0.47,0.03,19,133,0.9933,3.52,0.43,11.5,7,0
